MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
TAQYER,28.20246,80.4859,149.31796,52.28344
DUXLUF,-63.86622,-37.28978,-39.32544,26.57644
YUGZEG,-53.07346,-32.24034,-28.34458,20.83312
IZEWIU,-46.07614,-25.94108,-26.12082,20.13506
EHUFAP,-45.61216,-25.97452,-29.23492,19.63764
HIWLOO,-70.2867,-51.61046,-35.32518,18.68042
AMUCOB,-39.3129,-22.6347,-24.29416,16.6782
HAKWUM,-70.32432,-53.91364,-37.54476,16.41486
YUNKAV,-44.19514,-28.77512,-26.53046,15.42002
HIQPEE,-30.10854,-14.78466,-18.96466,15.32388
HIQPII,-29.87864,-15.4451,-19.13604,14.42936
OHIHET,-32.44098,-18.17046,-20.95852,14.27052
YUBFUX,-33.22264,-19.06916,-20.82894,14.1493
EXUMOZ,-99.2332,-85.20094,-52.5008,14.03226
SUJRIZ,-44.10318,-30.12944,-25.38932,13.97374
UNAHEY,-35.62614,-21.99934,-22.6974,13.6268
VEJZEQ,-42.33922,-28.72078,-24.69962,13.61844
FECWOB,-51.2677,-37.90006,-27.55038,13.36764
LUKWAR,-44.0781,-30.8275,-25.35588,13.2506
LUPDEH,-33.64064,-20.41094,-21.87812,13.2297
TAJTOQ01,-37.97948,-24.78322,-23.17392,13.19626
IVOLUC,-42.08842,-28.96322,-28.53686,13.12102
GUPRIU,-37.89588,-25.11344,-23.94304,12.78244
EZEQIL,-48.51308,-35.77662,-30.94454,12.73646
QUFFED,-42.96622,-30.2632,-20.00548,12.7072
EKETOF,-34.86956,-22.2376,-21.71092,12.62778
WAHMEY,-32.76284,-20.3357,-20.61576,12.42714
SIVWUR,-41.16464,-28.74168,-22.40898,12.42296
NAPFOA01,-33.5236,-21.26366,-19.00228,12.25994
BUSQEM,-38.42674,-26.17516,-22.363,12.25576
EMUYAM,-33.68244,-21.44758,-19.63764,12.23486
PIHJOH01,-32.79628,-20.6074,-19.66272,12.18888
LUPCOQ,-33.81202,-21.74854,-21.57298,12.06348
CIGYAU,-35.91874,-23.9096,-23.01926,12.01332
CUIMDZ01,-34.68564,-22.75592,-20.64502,11.92972
PIHJOH03,-30.91528,-19.04408,-18.83926,11.8712
MAKXAZ,-38.2679,-26.62242,-21.2135,11.64548
ITAHEQ,-33.84546,-22.49258,-18.6637,11.35288
BADJAU,-48.30826,-36.993,-24.55332,11.31526
PANYEL,-43.71444,-32.40754,-24.27326,11.3069
LIJNOJ,-40.4206,-29.14714,-23.40382,11.27346
ZEFLAZ01,-34.19658,-23.05688,-23.0527,11.1397
VIYZIO01,-43.54306,-32.50368,-22.8019,11.03938
FIVYUF,-43.21284,-32.19436,-28.62046,11.0143
DEGJIK,-37.31068,-26.29638,-21.04212,11.0143
RITDAB,-37.73704,-26.73528,-20.482,11.00176
MUVGUG,-38.00456,-27.01952,-22.4257,10.98086
QUZZES,-46.8578,-36.00652,-23.91796,10.8471
CILKOZ,-46.18064,-35.35026,-29.83266,10.83038
WICQIJ,-46.76166,-35.98562,-26.0623,10.77604
RIPNUB,-42.1971,-31.42942,-25.9578,10.77186
ZERQOE,-38.20938,-27.4835,-23.58356,10.72588
KANCIN,-42.88262,-32.24034,-19.74214,10.64228
AWAREV,-33.29788,-22.77264,-18.29586,10.52106
WUXLIM,-104.51672,-94.22556,-104.5627,10.29116
XAZGEK,-26.98608,-16.74926,-15.64574,10.23682
PUVJOG,-43.25046,-33.03872,-29.06772,10.21592
ILIFUE,-55.13838,-45.00188,-42.83246,10.1365
USISEW,-35.42968,-25.32662,-21.8823,10.10306
PEWXUL,-41.47814,-31.38762,-23.25334,10.09052
ZISYAD,-36.56664,-26.69348,-19.94696,9.86898
PEPLOM,-42.4688,-32.59982,-24.1186,9.86898
NOFQOQ,-28.07706,-18.23734,-18.04506,9.83972
XUNTEH,-39.7518,-29.9497,-22.2376,9.8021
IWEPUW,-37.5155,-27.72594,-16.66566,9.78956
TAJVOS01,-38.90326,-29.13042,-25.30572,9.77284
IDUDES,-44.59224,-34.8403,-28.14394,9.74776
EKETUL,-33.88308,-24.14786,-20.90418,9.73522
LAXMIJ,-42.13022,-32.41172,-22.36718,9.7185
FASGEO,-36.35346,-26.72692,-21.33472,9.62654
EKEVAT,-34.87792,-25.28064,-22.14146,9.59728
ETIXEM,-48.42948,-38.84892,-26.72274,9.58056
LUFCAS,-30.61014,-21.04212,-18.33766,9.56384
HAJMAH,-31.38762,-21.87812,-21.24694,9.50532
EWUGEK,-36.85506,-27.53366,-19.1653,9.3214
PAPXUB,-37.14766,-27.83462,-22.21252,9.31304
ZADWIN,-31.38762,-22.09548,-19.62092,9.29214
KAXQOR01,-38.5605,-29.29762,-23.27842,9.26288
UTATOA,-39.99006,-30.75226,-22.32538,9.2378
TONBII,-32.40754,-23.26588,-18.31258,9.14584
XAPYAO,-46.74494,-37.70778,-26.07902,9.03716
IMIDZB02,-35.90202,-26.88994,-24.1395,9.01626
KUMBUR,-44.57552,-35.56762,-27.89732,9.0079
XUNSEG,-35.9689,-26.96518,-20.59904,9.0079
XEJTIR,-42.60256,-33.61974,-25.38514,8.97864
VICDOC,-38.11324,-29.14296,-20.22284,8.97028
ILIGAL,-59.85342,-50.96674,-43.06654,8.88668
ARAKAH,-38.61902,-29.84938,-22.0913,8.76964
DUQNOU,-38.76114,-30.0124,-22.50094,8.74874
NERVEL,-40.95982,-32.29886,-26.3758,8.66096
ARAJOU,-37.2438,-28.62882,-22.33792,8.61498
LEZZEX,-34.09626,-25.50218,-20.5447,8.59408
REKQOP,-31.17862,-22.58872,-16.35216,8.5899
KINDIW,-39.65984,-31.0783,-29.21402,8.58154
